lat,lng,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-34.07,139.757,304.8,1,1,5/25/17,50,T,60,6.0NRT,289.2,6,D
-34.022,138.811,305.6,1,1,5/25/17,50,T,62,6.0NRT,289,6.3,D
-34.154,137.876,306.9,1,1,5/25/17,50,T,64,6.0NRT,286.8,8.1,D
-34.155,137.888,300.8,1,1,5/25/17,50,T,42,6.0NRT,288.8,4.2,D
-34.706,139.07,300.2,1,1,5/25/17,50,T,32,6.0NRT,282.7,4.8,D
-34.715,139.068,303.7,1,1,5/25/17,50,T,57,6.0NRT,281.4,7,D
-36.384,142.653,300.3,1.3,1.1,5/25/17,50,T,35,6.0NRT,285.8,6.4,D
-37.848,147.237,302.5,2.5,1.5,5/25/17,50,T,53,6.0NRT,287.6,23.3,D
-12.388,141.922,314.9,1.2,1.1,5/25/17,45,T,66,6.0NRT,299.8,9,D
-12.997,141.691,345.3,1.2,1.1,5/25/17,45,T,93,6.0NRT,301,62.3,D
-12.999,141.702,339.5,1.2,1.1,5/25/17,45,T,90,6.0NRT,300.8,48.9,D
-13.007,141.689,311.6,1.2,1.1,5/25/17,45,T,59,6.0NRT,297.7,7.8,D
-14.249,142.863,317.9,1,1,5/25/17,45,T,40,6.0NRT,302.9,7.2,D
-14.25,142.873,331.1,1,1,5/25/17,45,T,84,6.0NRT,303.1,23.4,D
-14.249,142.804,331.5,1,1,5/25/17,45,T,84,6.0NRT,302.2,25.1,D
-14.25,142.814,326.7,1,1,5/25/17,45,T,80,6.0NRT,302.5,18.4,D
-14.259,142.872,318.4,1,1,5/25/17,45,T,60,6.0NRT,303.4,9.2,D
-14.38,142.934,311.7,1,1,5/25/17,45,T,56,6.0NRT,300.8,4.7,D
-14.574,142.813,348,1,1,5/25/17,45,T,94,6.0NRT,304.4,53.4,D
-14.583,142.811,324.2,1,1,5/25/17,45,T,78,6.0NRT,302,15.3,D
-15.367,143.552,319.4,1,1,5/25/17,45,T,72,6.0NRT,301.7,10.5,D
-15.368,143.561,313.5,1,1,5/25/17,45,T,60,6.0NRT,300.9,5.3,D
-15.915,143.524,314.5,1,1,5/25/17,45,T,61,6.0NRT,303.2,5.6,D
-15.171,134.648,320.1,3.5,1.8,5/25/17,45,T,72,6.0NRT,297,67.7,D
-15.177,134.68,315.9,3.5,1.8,5/25/17,45,T,42,6.0NRT,297.9,44.6,D
-15.17,134.674,314.3,3.5,1.8,5/25/17,45,T,60,6.0NRT,298,40,D
-15.186,134.671,312.8,3.5,1.8,5/25/17,45,T,44,6.0NRT,297.4,31.5,D
-15.253,134.853,312.5,3.4,1.7,5/25/17,45,T,59,6.0NRT,298,32.4,D
-17.291,144.764,321.1,1,1,5/25/17,45,T,56,6.0NRT,299.8,13.7,D
-17.3,144.762,318.9,1,1,5/25/17,45,T,74,6.0NRT,300,12,D
-17.301,144.772,316.5,1,1,5/25/17,45,T,50,6.0NRT,299.9,9.6,D
-19.958,148.118,314.7,1.7,1.3,5/25/17,45,T,68,6.0NRT,299.8,19.8,D
-19.96,148.134,317.6,1.7,1.3,5/25/17,45,T,68,6.0NRT,299.6,24.9,D
-20.735,139.472,317.6,1.2,1.1,5/25/17,45,T,58,6.0NRT,303.8,9.3,D
-20.737,139.484,317.3,1.2,1.1,5/25/17,45,T,60,6.0NRT,303,9.1,D
-20.587,135.63,343.1,2.3,1.5,5/25/17,45,T,92,6.0NRT,300.5,141,D
-20.591,135.651,341.7,2.3,1.5,5/25/17,45,T,91,6.0NRT,300.8,131.3,D
-20.583,135.624,318.8,2.3,1.5,5/25/17,45,T,72,6.0NRT,299.1,34.7,D
-20.588,135.646,344.6,2.3,1.5,5/25/17,45,T,93,6.0NRT,301.3,150.2,D
-22.81,150.666,308.8,2.9,1.6,5/25/17,45,T,56,6.0NRT,295.7,28.2,D
-22.811,150.659,306.9,2.9,1.6,5/25/17,45,T,48,6.0NRT,295.5,23,D
-24.578,150.274,308.4,2.8,1.6,5/25/17,45,T,56,6.0NRT,297.5,21.7,D
-24.58,150.301,308.5,2.8,1.6,5/25/17,45,T,51,6.0NRT,297,24.1,D
-24.581,150.294,311.8,2.8,1.6,5/25/17,45,T,65,6.0NRT,297.3,34.9,D
-24.984,152.259,326.3,4,1.9,5/25/17,45,T,83,6.0NRT,295.4,167.6,D
-24.988,152.253,324.1,4,1.9,5/25/17,45,T,81,6.0NRT,295.4,150.2,D
-24.75,147.02,307.8,1.7,1.3,5/25/17,45,T,28,6.0NRT,297.1,9.2,D
-24.771,147,331.7,1.7,1.3,5/25/17,45,T,86,6.0NRT,297.1,57.9,D
-24.773,147.016,314.3,1.7,1.3,5/25/17,45,T,68,6.0NRT,297.6,19.4,D
-25.874,146.989,316.6,1.7,1.3,5/25/17,45,T,72,6.0NRT,298.4,21.9,D
-25.881,146.982,318.9,1.7,1.3,5/25/17,45,T,75,6.0NRT,298.6,24.8,D
-27.531,149.127,304.3,2.5,1.5,5/25/17,45,T,34,6.0NRT,294.3,13.5,D
-28.525,147.031,309.7,1.9,1.3,5/25/17,45,T,60,6.0NRT,295.4,14,D
-28.527,147.05,333.9,1.9,1.3,5/25/17,45,T,87,6.0NRT,296.4,76.9,D
-28.537,147.03,309.9,1.9,1.3,5/25/17,45,T,60,6.0NRT,295.3,13.8,D
-28.539,147.049,329.8,1.9,1.3,5/25/17,45,T,85,6.0NRT,296.3,62.8,D
-28.531,147.044,348.6,1.9,1.3,5/25/17,45,T,95,6.0NRT,297.3,141.4,D
-28.533,147.064,312.5,1.9,1.3,5/25/17,45,T,67,6.0NRT,295.6,20.8,D
-28.734,147.693,317.1,2.1,1.4,5/25/17,45,T,75,6.0NRT,297.8,30.9,D
-28.737,147.715,319.7,2.1,1.4,5/25/17,45,T,77,6.0NRT,299.5,37.7,D
-28.97,148.594,308.5,2.4,1.5,5/25/17,45,T,63,6.0NRT,295.6,15,D
